date,net_profit_loss_from_ordinary_activities_after_tax_yrly,current_tax_yrly,basic_eps_for_continuing_operation_yrly,net_profit_yrly,finance_costs_yrly,employee_benefit_expense_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_sales_yrly,tax_yrly,diluted_for_discontinued_continuing_operation_yrly,diluted_eps_yrly,basic_for_discontinued_continuing_operation_yrly,other_income_yrly,total_income_yrly,expenditure_yrly,depreciation_and_amortisation_expense_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,exceptional_item_yrly,other_expenses_yrly,deferred_tax_yrly,diluted_eps_for_continuing_operation_yrly,basic_eps_yrly
2008-08-12,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-13,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-14,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-15,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-16,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-17,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-18,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-19,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-20,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-21,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-22,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-23,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-24,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-25,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-26,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-27,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-28,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-29,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-30,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-08-31,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-01,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-02,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-03,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-04,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-05,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-06,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-07,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-08,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-09,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-10,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-11,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-12,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-13,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-14,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-15,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-16,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-17,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-18,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
2008-09-19,126.80,,,126.80,,,,"1,466.68",-64.6,,1.62,,18.03,"1,484.71","-1,295.54",,191.41,0.00,,,,2.02
