current_tax_qtr,face_value_in_rs_qtr,diluted_eps_qtr,other_expenses_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,deferred_tax_qtr,tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,finance_costs_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,total_income_qtr,basic_eps_qtr,date,interest_qtr,depreciation_and_amortisation_expense_qtr,net_profit_qtr,basic_for_discontinued_continuing_operation_qtr,net_sales_qtr,other_income_qtr,profit_before_interest_and_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-10-28,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-10-29,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-10-30,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-10-31,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-01,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-02,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-03,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-04,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-05,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-06,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-07,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-08,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-09,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-10,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-11,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-12,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-13,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-14,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-15,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-16,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-17,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-18,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-19,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-20,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-21,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-22,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-23,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-24,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-25,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-26,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-27,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-28,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-29,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-11-30,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-01,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-02,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-03,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-04,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-05,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-06,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-07,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-08,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-09,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-10,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-11,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-12,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-13,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-14,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-15,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-16,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-17,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-18,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-19,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
