Net Sales/Revenue From Operations,Revenue from Operations,Other Income,Total Income,Expenditure,Provisions and Loan Losses,Depreciation and amortisation expense,Employee benefit expense,Finance Costs,Other Expenses,Profit after Interest but before Exceptional Items,Profit (+)/ Loss (-) from Ordinary Activities before Tax,Tax,Current tax,Deferred tax,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax,Net Profit,Basic for discontinued & continuing operation,Diluted for discontinued & continuing operation,,date,Impairment on financial instruments,Other Expenditure,Net loss on fair value changes,Basic EPS for continuing operation,Diluted EPS for continuing operation,Profit before extraordinary items and Tax,Net Profit after Mino Inter & Share of P & L,Net profit (loss) from discontinuing operation after tax,Profit (loss) from discontinuing operations before tax,Deferred Tax,Minority Interest,Share of Profit & Loss of Asso,Exceptional Item,Extraordinary Items,Tax expense of discontinuing operations,Any Other,Business origination outsourcing,Net Sales,Other operating expenses,Income Attributable to Consolidated Group,EPS after Extraordinary items (in Rs),Net Profit Loss for the period from continuing operations,Provisions and loan losses,Prior year,Reserves,"Profit or Loss, Attributable to Owners of Parent",Prior Period Items,Employee Benefit Expenses,Equity Capital,"Total Profit or Loss, Attributable to Non-Controlling Interests",Other Operating Income,Diluted EPS before Extraordinary items,Interest,Total Comprehensive Income for the Period Attributable to Owners of Parent Non-Controlling Interests,EPS before Extraordinary items (in Rs),Depreciation & amortization expense,Other Comprehensive Income Net of Taxes,"Profit from Operations before Other Income, Interest and Exceptional Items",Business Origination Outsourcing,Diluted EPS after Extraordinary items,Total Comprehensive Income for the Period,Comprehensive Income for the Period Attributable to Owners of Parent,Income from Operations,Provisions & Loan Losses,Tax expenses (Including Deferred Tax),Cost of Investment In Sub,Basic EPS after Extraordinary items,Any Other Comprehensive Item,Profit before Interest and Exceptional Items,Other Operating Expenditure,Basic EPS before Extraordinary items,Face Value (in Rs),Interest (Finance Charges),Interest (Including Financial Charges),Tax Expenses (including deferred tax),Loan Provision and Write Offs,Finance Cost,Pending at the beginning of the quarter,Debt Equity Ratio,Percentage of Public Shareholding,Disposed of during the quarter,Debt Service Coverage Ratio,Debt Earning Per Share (EPS),Paid up Debt Capital,Received during the quarter,Depreciation,Debt Face Value,Debenture Redemption Reserve,Remaining unresolved at the end of the quarter,Number of Public Shareholding,"Provision, Loan Losses & Other Charges",Employees Cost,Investor Complaints,Interest Service Coverage Ratio,Branch Closure Costs / Losses,MTM Adjustment for Derivatives,Finance Charges,Deferred Tax & Fringe Benefit Tax,Total Amount of items that will not be reclassified to profit and loss,Income tax relating to items that will not be reclassified to profit or loss,Total Amount of items that will be reclassified to profit and loss,Income tax relating to items that will be reclassified to profit or loss,Net movement in regulatory deferral account balances,Share of profit(loss) of associates and joint ventures
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,970.30","15,970.30",2.00,"15,972.30","-11,584.50",-982.50,-126.60,"-1,412.70","-8,018.30","-1,044.40","4,387.80","4,387.80","-1,535.30","-1,652.40",117.10,"2,852.50","2,852.50",18.25,18.22,Notes,2018-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
