date,Net Sales_YRLY,Other Income_YRLY,Total Income_YRLY,Expenditure_YRLY,Finance Costs_YRLY,Other Expenses_YRLY,Employee benefit expense_YRLY,"Changes in inventories of finished goods, work-in-progress and stock-in-trade_YRLY",Purchases of stock-in-trade_YRLY,Depreciation and amortisation expense_YRLY,Profit (+)/ Loss (-) from Ordinary Activities before Tax_YRLY,Tax_YRLY,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax_YRLY,Net Profit_YRLY,Current tax_YRLY,Deferred tax_YRLY,Minority Interest_YRLY,Share of Profit & Loss of Asso_YRLY,Net Profit after Mino Inter & Share of P & L_YRLY,Any Other_YRLY,Income Attributable to Consolidated Group_YRLY,EPS after Extraordinary items (in Rs)_YRLY,Exceptional Item_YRLY,Profit after Interest but before Exceptional Items_YRLY,Net Profit Loss for the period from continuing operations_YRLY,Profit (loss) from discontinuing operations before tax_YRLY,Tax expense of discontinuing operations_YRLY,Net profit (loss) from discontinuing operation after tax_YRLY,Other Comprehensive Income Net of Taxes_YRLY,Any Other Comprehensive Item_YRLY,Total Comprehensive Income for the Period_YRLY,Total Amount of items that will not be reclassified to profit and loss_YRLY,Income tax relating to items that will not be reclassified to profit or loss_YRLY,Total Amount of items that will be reclassified to profit and loss_YRLY,Income tax relating to items that will be reclassified to profit or loss_YRLY,Net movement in regulatory deferral account balances_YRLY,Share of profit(loss) of associates and joint ventures_YRLY,Basic EPS for continuing operation_YRLY,Diluted EPS for continuing operation_YRLY,Basic for discontinued & continuing operation_YRLY,Diluted for discontinued & continuing operation_YRLY,_YRLY,basic_eps_YRLY,diluted_eps_YRLY,Depreciation and amortisation expenses_YRLY,Interest income on income tax refund_YRLY,Deferred Tax_YRLY,Profit before extraordinary items and Tax_YRLY,Revenue from Operations_YRLY,Extraordinary Items_YRLY,Short provision for tax relating to prior years_YRLY
2022-04-11,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-12,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-13,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-14,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-15,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-16,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-17,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-18,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-19,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-20,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-21,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-22,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-23,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-24,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-25,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-26,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-27,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-28,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-29,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-04-30,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-01,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-02,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-03,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-04,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-05,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-06,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-07,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-08,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-09,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-10,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-11,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-12,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-13,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-14,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-15,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-16,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-17,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-18,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-19,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-20,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
2022-05-21,"74,491.20",708.20,"75,199.40","-69,226.60",-185.40,"-4,561.40","-9,331.10",258.90,"-54,816.30",-591.30,"5,972.80","-1,453.80",0.00,"4,519.00","-1,670.90",217.10,0.00,0.00,"4,519.00",0.00,"4,519.00",,0.00,"5,972.80","4,519.00",0.00,0.00,0.00,-251.40,0.00,"4,267.60",0.00,0.00,0.00,0.00,0.00,0.00,32.58,32.58,32.58,32.58,Notes,32.58,32.58,,,,,,,
