date,Net Sales/Revenue From Operations_QTR,Other Income_QTR,Total Income_QTR,Expenditure_QTR,Finance Costs_QTR,Depreciation and amortisation expense_QTR,Employee benefit expense_QTR,Operating and Other expenses_QTR,Finance Income_QTR,Profit on sale of current investments _QTR,Profit after Interest but before Exceptional Items_QTR,Profit (+)/ Loss (-) from Ordinary Activities before Tax_QTR,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax_QTR,Net Profit_QTR,Basic EPS for continuing operation_QTR,Diluted EPS for continuing operation_QTR,Basic for discontinued & continuing operation_QTR,Diluted for discontinued & continuing operation_QTR,_QTR,basic_eps_QTR,diluted_eps_QTR,Exceptional Item_QTR,Provision for Contingency_QTR,Cost of Goods sold_QTR,Other (gains)  / losses_QTR,License Fees & Spectrum Charges_QTR,Interconnect & Other Access Costs_QTR,Provision for Contingencies _QTR,"Profit from Operations before Other Income, Interest and Exceptional Items_QTR",Interest_QTR,Diluted EPS after Extraordinary items_QTR,Profit before Interest and Exceptional Items_QTR,Face Value (in Rs)_QTR,Cost of Goods Sold_QTR,Employee Benefit Expenses_QTR,Other Operating Income_QTR,Network Operations Costs_QTR,Net Sales/ Income from Telecommunication services _QTR,Basic EPS after Extraordinary items_QTR,Administration & Other Expenditure_QTR,Depreciation & Amortization_QTR,Equity Capital_QTR,Marketing & Business Promotion Expenses_QTR,Employee benefits expenses_QTR,Operating & Other Expenses_QTR,Revenue from Operations_QTR,% of the total of promoter & promoter group_QTR,%  of the total share capital of the company_QTR,Basic EPS before Extraordinary items_QTR,Percentage of Public Shareholding_QTR,% of the total share capital of the company_QTR,%  of the total of promoter & promoter group_QTR,Diluted EPS before Extraordinary items_QTR,Encumbered Number  of Shares_QTR,Employees Cost_QTR,Non-encumbered Number of Shares_QTR,Number of Public Shareholding_QTR,Basic & Diluted EPS before Extraordinary items_QTR,Basic & Diluted EPS after Extraordinary items_QTR,Employee Cost_QTR,Net Sales / Income from Operations_QTR,Licence Fee & Spectrum Charges_QTR,Employee Coast_QTR,Financial Cost_QTR,Adminstrative & Other Expensess_QTR,Network & Other Charges_QTR,Network Operation Expenditure_QTR,Administration & Other Expenditures_QTR,Access & Interconnection Charges_QTR,Networking Operating Cost / Expenses_QTR,Depreciation / Amortisation_QTR,Profit on Sale of Long Term Investments_QTR,Income from Telecommunications Services_QTR,Adminstrative & Other Expenses_QTR,Fringe Benefit Tax_QTR,Depreciation_QTR,Tax_QTR,Administrative & Other Expenses_QTR
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,664.80",26.00,"2,690.80","-5,641.80","-3,758.80",-398.50,-139.80,"-1,354.90",1.00,9.20,"-2,951.00","-2,951.00","-2,951.00","-2,951.00",-1.51,-1.51,-1.51,-1.51,Notes,-1.51,-1.51,2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
